trade_date,Closed PnL,classification,Execution Price,Side,leverage
2024-02-12,0.0,Greed,7.9769,Buy,0.9999995804202895
2024-02-12,0.0,Greed,7.98,Buy,1.0
2024-02-12,0.0,Greed,7.9855,Buy,0.999999395983435
2024-02-12,0.0,Greed,7.9874,Buy,1.0000013554709977
2024-02-12,0.0,Greed,7.9894,Buy,1.0000363884208432
2024-02-12,0.0,Greed,7.99,Buy,1.0003639300899172
2024-02-12,0.0,Greed,7.9934,Buy,1.0000008630202712
2024-02-12,0.0,Greed,8.0,Buy,1.0
2024-02-12,0.0,Greed,8.0,Buy,1.0
2024-02-12,0.0,Greed,8.0,Buy,1.0
2024-02-12,0.0,Greed,8.0,Buy,1.0
2024-02-12,0.0,Greed,7.9457,Buy,1.000082419809602
2024-02-12,0.0,Greed,7.9487,Buy,1.0
2024-02-12,0.0,Greed,7.9499,Buy,1.0000169738740081
2024-02-12,0.0,Greed,7.95,Buy,0.9999996966750428
2024-02-12,0.0,Greed,7.9271,Buy,1.0
2024-02-12,0.0,Greed,7.9271,Buy,1.000005406408757
2024-02-12,0.0,Greed,7.9272,Buy,0.9999971660242428
2024-02-12,0.0,Greed,7.9275,Buy,0.9999973551628853
2024-02-12,0.0,Greed,7.9285,Buy,1.0000018929052021
2024-02-12,0.0,Greed,7.9292,Buy,1.0
2024-02-12,0.0,Greed,7.9295,Buy,1.000063055678164
2024-02-12,0.0,Greed,7.9298,Buy,0.9999957273068958
2024-02-12,0.0,Greed,7.9311,Buy,0.9999673590668794
2024-02-12,0.0,Greed,7.9315,Buy,1.0
2024-02-12,0.0,Greed,7.9323,Buy,0.9999995070729573
2024-02-12,0.0,Greed,7.9324,Buy,1.000000672762813
2024-02-12,0.0,Greed,7.9355,Buy,0.9999982286907064
2024-02-12,0.0,Greed,7.9369,Buy,1.0000016601564101
2024-02-12,0.0,Greed,7.9377,Buy,0.9999972082893961
2024-02-12,0.0,Greed,7.9457,Buy,0.9999971903683547
2024-02-12,0.0,Greed,7.4791,Buy,1.0001203353344654
2024-02-12,0.0,Greed,7.4832,Buy,0.9999960232015325
2024-02-12,0.0,Greed,7.4898,Buy,1.00000041588542
2024-02-12,0.0,Greed,7.49,Buy,1.0000000970279554
2024-02-12,0.0,Greed,7.5204,Buy,0.9999999999999999
2024-02-12,0.0,Greed,7.5205,Buy,1.000004572690164
2024-02-12,0.0,Greed,7.5207,Buy,1.0000021565851283
2024-02-12,0.0,Greed,7.5282,Buy,1.000001532166737
2024-02-12,0.0,Greed,7.5354,Buy,1.0000010833220938
2024-02-12,0.0,Greed,7.5356,Buy,1.0000030673618154
2024-02-12,0.0,Greed,7.5357,Buy,1.0000009089912665
2024-02-12,0.0,Greed,7.5359,Buy,0.9999977931839686
2024-02-12,0.0,Greed,7.5362,Buy,1.0000020517488866
2024-03-12,3008.231185,Extreme Greed,9.057,Sell,0.9999998090892839
2024-03-12,30.741534,Extreme Greed,9.057,Sell,1.0000220823672297
2024-03-12,40.770089,Extreme Greed,9.048,Sell,0.9999894110982279
2024-03-12,243.812267,Extreme Greed,9.0464,Sell,1.0
2024-03-12,254.263735,Extreme Greed,9.0424,Sell,0.9999986132636646
2024-03-12,24.301227,Extreme Greed,9.0424,Sell,1.000011059010882
2024-03-12,134.551236,Extreme Greed,9.0417,Sell,0.9999996406541388
2024-03-12,41.230486,Extreme Greed,9.04,Sell,1.0000000000000002
2024-03-12,606.330666,Extreme Greed,9.04,Sell,1.0
2024-03-12,606.330666,Extreme Greed,9.04,Sell,1.0
2024-03-12,154.369969,Extreme Greed,9.0397,Sell,1.000004343085507
2024-03-12,173.909751,Extreme Greed,9.039,Sell,1.0000017959442447
2024-03-12,13.494046,Extreme Greed,9.0354,Sell,1.0000453998615098
2024-03-12,153.720586,Extreme Greed,9.0346,Sell,1.0000038091906085
2024-03-12,88.119595,Extreme Greed,9.0333,Sell,0.9999951050144164
2024-03-12,34.075565,Extreme Greed,9.0327,Sell,0.9999826554800034
2024-03-12,255.761609,Extreme Greed,9.0303,Sell,0.9999989150657888
2024-03-12,46.6749,Extreme Greed,9.0303,Sell,1.0000124437874733
2024-03-12,173.291472,Extreme Greed,9.03,Sell,0.999997924884987
2024-03-12,17.979787,Extreme Greed,9.03,Sell,1.0000111112345695
2024-03-12,0.0,Extreme Greed,235.03,Buy,0.999997664714653
2024-03-12,0.0,Extreme Greed,235.04,Buy,0.9999996226523316
2024-03-12,0.0,Extreme Greed,235.04,Buy,1.0000006613360046
2024-03-12,0.0,Extreme Greed,235.09,Buy,1.0000006973262419
2024-03-12,0.0,Extreme Greed,235.09,Buy,0.9999998623401269
2024-03-12,0.0,Extreme Greed,235.13,Buy,1.0000000434308545
2024-03-12,0.0,Extreme Greed,235.25,Buy,0.9999986531061392
2024-03-12,0.0,Extreme Greed,235.28,Buy,1.000000187442338
2024-03-12,0.0,Extreme Greed,235.28,Buy,0.9999973366548207
2024-03-12,0.0,Extreme Greed,235.45,Buy,1.0000011287131236
2024-03-12,0.0,Extreme Greed,235.48,Buy,0.9999994840825938
2024-03-12,0.0,Extreme Greed,235.48,Buy,0.9999984025159309
2024-03-12,0.0,Extreme Greed,235.5,Buy,1.000002159859868
